,defBodySigStrikeAccuracy,defBodySigStrikeAttemped,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttemped,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttemped,defDistanceSigStrikeSuccessful,defGroundSigStrikeAccuracy,defGroundSigStrikeAttemped,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttemped,defHeadSigStrikeSuccessful,defKnockdowns,defLegSigStrikeAccuracy,defLegSigStrikeAttemped,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAttempted,defTakedownAttempted,defTakedownSuccessful,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,offBodySigStrikeAccuracy,offBodySigStrikeAttemped,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttemped,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttemped,offDistanceSigStrikeSuccessful,offGroundSigStrikeAccuracy,offGroundSigStrikeAttemped,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttemped,offHeadSigStrikeSuccessful,offKnockdowns,offLegSigStrikeAccuracy,offLegSigStrikeAttemped,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAttempted,offTakedownAttempted,offTakedownSuccessful,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,score
323d34a1-9f5c-4af1-9aa0-fd4ac5774416,1.0,4.0,4.0,1.0,1.0,1.0,0.45,60.0,27.0,0.0,0.0,0.0,0.3157894736842105,38.0,12.0,0,0.631578947368421,19.0,12.0,0,0,0,0,0,0.45901639344262296,61,28,0.6666666666666666,6.0,4.0,0.0,2.0,0.0,0.463768115942029,69.0,32.0,0.0,0.0,0.0,0.3728813559322034,59.0,22.0,0,1.0,6.0,6.0,0,0,0,0,0,0.4507042253521127,71,32,-1.0
ba13221a-3e32-48c6-a8c4-754cecdff89d,0.3333333333333333,3.0,1.0,0.0,0.0,0.0,0.5,82.0,41.0,0.0,0.0,0.0,0.4307692307692308,65.0,28.0,0,0.8571428571428571,14.0,12.0,0,0,0,0,0,0.5,82,41,0.625,8.0,5.0,0.7,10.0,7.0,0.5230769230769231,65.0,34.0,0.0,0.0,0.0,0.4827586206896552,58.0,28.0,0,0.8888888888888888,9.0,8.0,0,0,0,0,0,0.5466666666666666,75,41,3.0
c9cdf884-2be3-4523-9333-ec223b7d52ff,0.5,2.0,1.0,0.0,0.0,0.0,0.4166666666666667,36.0,15.0,0.0,0.0,0.0,0.13636363636363635,22.0,3.0,0,0.9166666666666666,12.0,11.0,0,0,1,0,0,0.43243243243243246,37,16,0.6666666666666666,3.0,2.0,0.8333333333333334,6.0,5.0,0.391304347826087,23.0,9.0,0.0,0.0,0.0,0.3333333333333333,18.0,6.0,0,0.75,8.0,6.0,0,0,0,2,0,0.7413793103448276,58,43,-3.0
5a29a4ee-f37c-468b-a43a-d1f61d5b8996,0.6666666666666666,6.0,4.0,0.0,2.0,0.0,0.463768115942029,69.0,32.0,0.0,0.0,0.0,0.3728813559322034,59.0,22.0,0,1.0,6.0,6.0,0,0,0,0,0,0.4507042253521127,71,32,1.0,4.0,4.0,1.0,1.0,1.0,0.45,60.0,27.0,0.0,0.0,0.0,0.3157894736842105,38.0,12.0,0,0.631578947368421,19.0,12.0,0,0,0,0,0,0.45901639344262296,61,28,1.0
349340f8-2f60-48cd-ac08-6bf15e80c393,0.625,8.0,5.0,0.7,10.0,7.0,0.5230769230769231,65.0,34.0,0.0,0.0,0.0,0.4827586206896552,58.0,28.0,0,0.8888888888888888,9.0,8.0,0,0,0,0,0,0.5466666666666666,75,41,0.3333333333333333,3.0,1.0,0.0,0.0,0.0,0.5,82.0,41.0,0.0,0.0,0.0,0.4307692307692308,65.0,28.0,0,0.8571428571428571,14.0,12.0,0,0,0,0,0,0.5,82,41,-3.0
15074e38-f022-4540-a1b5-7a496265ea13,0.6666666666666666,3.0,2.0,0.8333333333333334,6.0,5.0,0.391304347826087,23.0,9.0,0.0,0.0,0.0,0.3333333333333333,18.0,6.0,0,0.75,8.0,6.0,0,0,0,2,0,0.7413793103448276,58,43,0.5,2.0,1.0,0.0,0.0,0.0,0.4166666666666667,36.0,15.0,0.0,0.0,0.0,0.13636363636363635,22.0,3.0,0,0.9166666666666666,12.0,11.0,0,0,1,0,0,0.43243243243243246,37,16,3.0
f00c57d3-d458-4029-9d4e-8ccc6bf3c024,0.5,4.0,2.0,0.8,5.0,4.0,0.4090909090909091,22.0,9.0,1.0,4.0,4.0,0.5,22.0,11.0,0,0.8,5.0,4.0,1,0,0,1,1,0.6,35,21,1.0,4.0,4.0,1.0,4.0,4.0,0.14285714285714285,7.0,1.0,0.0,0.0,0.0,0.14285714285714285,7.0,1.0,0,0.0,0.0,0.0,1,0,0,4,2,0.5384615384615384,13,7,-3.0
f019d869-232b-431a-862b-1ba66d05c855,0.625,8.0,5.0,1.0,1.0,1.0,0.5263157894736842,38.0,20.0,0.0,0.0,0.0,0.4444444444444444,27.0,12.0,0,1.0,4.0,4.0,0,0,0,0,0,0.5384615384615384,39,21,1.0,2.0,2.0,1.0,1.0,1.0,0.43333333333333335,30.0,13.0,0.0,0.0,0.0,0.41379310344827586,29.0,12.0,0,0.0,0.0,0.0,0,0,0,1,1,0.5142857142857142,35,18,-3.0
26b5d3ce-ed46-4289-86db-5e3391782223,0.4444444444444444,9.0,4.0,0.75,4.0,3.0,0.5641025641025641,39.0,22.0,1.0,2.0,2.0,0.6571428571428571,35.0,23.0,0,0.0,1.0,0.0,0,0,0,0,0,0.5869565217391305,46,27,1.0,3.0,3.0,1.0,1.0,1.0,0.42857142857142855,28.0,12.0,0.0,0.0,0.0,0.38461538461538464,26.0,10.0,0,0.0,0.0,0.0,1,0,0,5,1,0.68,50,34,-3.0
e0672d94-8a5a-4bd7-91cd-521ec4d0964d,1.0,3.0,3.0,1.0,1.0,1.0,0.42857142857142855,28.0,12.0,0.0,0.0,0.0,0.38461538461538464,26.0,10.0,0,0.0,0.0,0.0,1,0,0,5,1,0.68,50,34,0.4444444444444444,9.0,4.0,0.75,4.0,3.0,0.5641025641025641,39.0,22.0,1.0,2.0,2.0,0.6571428571428571,35.0,23.0,0,0.0,1.0,0.0,0,0,0,0,0,0.5869565217391305,46,27,3.0
