oid,date,offSubmissionScore,offSubmissionSuccessful,round,weight,weightClass,gender,class
ef500629-5e07-48cd-91c7-1c0324d537dc,2007-09-08T04:00:00.000+0000,0.012145965874786141,0,1,205,LHW,M,LHW
34495904-e5ae-40c0-8429-d1d106fae11b,2007-09-08T04:00:00.000+0000,0.011130375995041448,0,2,205,LHW,M,LHW
bc9f24c8-0ca5-4f4d-a54c-b32f6551bf82,2007-09-08T04:00:00.000+0000,0.007385263893127795,0,3,205,LHW,M,LHW
6fcf9f73-1566-496c-8f47-92783b0d8528,2007-09-08T04:00:00.000+0000,0.022216498877019125,0,1,265,HW,M,HW
b129b76c-0e06-4d2f-9a88-c479ad4d7a6e,2007-09-08T04:00:00.000+0000,0.002298393654118835,0,2,265,HW,M,HW
da360965-6404-4980-964a-64e4ac4a00dd,2007-09-08T04:00:00.000+0000,0.003516790791006273,0,3,265,HW,M,HW
dc518703-64ac-4b02-925e-d2af0e6e9402,2007-09-08T04:00:00.000+0000,0.0019060354563455641,0,1,265,HW,M,HW
089e6f11-2872-427a-b085-d5f8157a0fa0,2007-09-08T04:00:00.000+0000,0.07826508989980956,0,2,265,HW,M,HW
8dcef117-2bf7-47b9-b04d-78cd910b3cf5,2007-09-08T04:00:00.000+0000,0.013852590288889952,0,3,265,HW,M,HW
825457ad-ee91-47a4-94c4-ce04075ca6dd,2007-09-08T04:00:00.000+0000,0.6102249797547791,0,4,205,LHW,M,LHW
628a14bd-5aeb-461b-8a07-31457d0acd8d,2007-09-08T04:00:00.000+0000,0.007540278079322262,0,5,205,LHW,M,LHW
88b2aa8b-709d-49a7-b386-de85bd64ab68,2007-09-08T04:00:00.000+0000,0.01070360121438887,0,1,205,LHW,M,LHW
bb83240f-3bd9-4b93-bef3-a96986b72a64,2007-09-08T04:00:00.000+0000,0.0031013155254889465,0,2,205,LHW,M,LHW
4fd6c34e-fb01-4ec8-bcb8-07e4a656e41e,2007-09-08T04:00:00.000+0000,0.634869954213867,0,3,205,LHW,M,LHW
d39e705d-fde0-4fd3-9aac-a1e4c8764135,2007-09-08T04:00:00.000+0000,0.013400948545987194,0,3,205,LHW,M,LHW
4e0baea6-3a7e-44af-aea6-a1528b47ed00,2007-09-08T04:00:00.000+0000,0.001989973019449167,0,1,205,LHW,M,LHW
024b1df6-1568-4df8-b403-6f509e9f7a33,2007-09-08T04:00:00.000+0000,0.007672326265526953,0,2,205,LHW,M,LHW
1faa332b-bb17-46ce-b1fa-0a91588daed7,2007-09-08T04:00:00.000+0000,0.009362534698904931,0,5,205,LHW,M,LHW
083e749d-1a51-4c50-85b9-7bd0ff54e4ab,2007-09-08T04:00:00.000+0000,0.041512478910535416,0,4,205,LHW,M,LHW
e7b0032a-223b-40e2-b1c8-baa9b4832bfa,2007-12-29T05:00:00.000+0000,0.001982192522316495,0,1,170,WW,M,WW
80391b96-b723-4797-8331-ccb51032b8e1,2007-12-29T05:00:00.000+0000,0.0015322837776550453,0,2,170,WW,M,WW
4a619d7b-5d8e-42cf-8c27-1bd0c7a7fb74,2007-12-29T05:00:00.000+0000,0.9811391945481124,1,2,170,WW,M,WW
ee9c0f8c-2d5b-4dae-98e4-755c428aeb26,2007-12-29T05:00:00.000+0000,0.9382070563931898,0,1,170,WW,M,WW
99d60868-67b0-4281-9040-f0a22610198a,2007-11-17T05:00:00.000+0000,0.012572690371616565,0,2,205,LHW,M,LHW
0341bd77-dcd3-412f-96af-95740dc3dce1,2007-11-17T05:00:00.000+0000,0.006176836609214022,0,3,205,LHW,M,LHW
6b95bb16-8ea5-4632-a886-8e3eff1639c4,2007-11-17T05:00:00.000+0000,0.003945525235207479,0,1,205,LHW,M,LHW
cd4f82f0-305a-4c6f-9c56-9500ce094a7b,2007-11-17T05:00:00.000+0000,0.1203747929995478,0,1,205,LHW,M,LHW
78ccd10c-e1c7-463f-8d0c-38511b3ef58f,2007-11-17T05:00:00.000+0000,0.018949102756904524,0,2,205,LHW,M,LHW
76eda53d-bfc4-4d37-b5cf-ba9096b6a713,2007-11-17T05:00:00.000+0000,0.05250171229395787,0,3,205,LHW,M,LHW
6efa71f6-6874-49d1-a3c9-0940a8810ddd,2007-10-20T04:00:00.000+0000,0.006416158505182476,0,1,185,MW,M,MW
21984a7e-51a8-4fd3-979e-d24b82f20e0c,2007-10-20T04:00:00.000+0000,0.011305631471801416,0,2,185,MW,M,MW
9182e1c4-6c43-4600-b0b8-62b6b19012b3,2007-10-20T04:00:00.000+0000,0.004731626672085678,0,1,185,MW,M,MW
d35d69eb-313f-4e64-b586-a581bf60028d,2007-10-20T04:00:00.000+0000,0.003319118337533941,0,2,185,MW,M,MW
037bebee-9e0f-47b1-93c5-b6099d442adb,2007-06-12T04:00:00.000+0000,0.7526491116683582,0,1,170,WW,M,WW
82c55451-5937-45ae-a037-6e1f23497c5f,2007-06-12T04:00:00.000+0000,0.005990737249214009,0,2,170,WW,M,WW
c34687c6-df28-46e0-b1a7-b455fe358355,2007-06-12T04:00:00.000+0000,0.005630634447077575,0,1,170,WW,M,WW
78efa21f-c742-435f-b99f-c4a1c8a0d850,2007-06-12T04:00:00.000+0000,0.9895910426862508,1,2,170,WW,M,WW
b80a236f-fedc-4a85-b3d6-bf5c3bf19a2c,2007-06-12T04:00:00.000+0000,0.018508881754784958,0,2,155,LW,M,LW
64d73133-3353-4951-b4ab-c9e94f51a4de,2007-06-12T04:00:00.000+0000,0.02896818320224624,0,3,155,LW,M,LW
ad0dbe1b-ae52-4ea8-b3aa-da8f4f34a5d1,2007-06-12T04:00:00.000+0000,0.014751211395907262,0,1,155,LW,M,LW
82bf060a-943d-4889-b5ea-b9a2377ce4a5,2007-06-12T04:00:00.000+0000,0.010798036977160173,0,3,155,LW,M,LW
98224136-4bcc-4727-a738-c280123bac7d,2007-06-12T04:00:00.000+0000,0.01622946531319851,0,1,155,LW,M,LW
07934580-e4e6-4583-9b42-8a49ff49a1e7,2007-06-12T04:00:00.000+0000,0.015552508515851413,0,2,155,LW,M,LW
3502287f-cda9-4166-bf28-9b9f74c4ff96,2007-04-21T04:00:00.000+0000,0.00231086593821945,0,1,265,HW,M,HW
75c41a93-17bb-4e33-936c-73485a2e5623,2007-04-21T04:00:00.000+0000,0.03259504963177124,0,1,265,HW,M,HW
6399ccbd-0b68-4203-808a-30b5f2699dcf,2007-04-21T04:00:00.000+0000,0.008087545438540369,0,1,265,HW,M,HW
108dbc65-6d53-4335-b0dc-fc590f95e180,2007-04-21T04:00:00.000+0000,0.0119869305127173,0,2,265,HW,M,HW
c4e93a11-120a-440e-a43e-692c900717ab,2007-04-21T04:00:00.000+0000,0.029179784845539267,0,3,265,HW,M,HW
17d6f052-dfb7-4c71-ad9a-a486aea27626,2007-04-21T04:00:00.000+0000,0.018364908637400625,0,1,265,HW,M,HW
f83d1e03-f8f4-4521-8ae7-f34de12ed3eb,2007-04-21T04:00:00.000+0000,0.018317752256132826,0,2,265,HW,M,HW
0da72b86-7a4a-43f4-8cbb-45908365cc47,2007-04-21T04:00:00.000+0000,0.02341954098489033,0,3,265,HW,M,HW
553b79ec-7cfd-4532-9f97-730fe5f6eee9,2007-06-16T04:00:00.000+0000,0.9350503284906048,0,3,185,MW,M,MW
69b97f5d-48ad-4307-bf68-0db367aecc67,2007-06-16T04:00:00.000+0000,0.005826789071634636,0,1,185,MW,M,MW
d830e153-fc17-402e-b342-290ef2209564,2007-06-16T04:00:00.000+0000,0.008759114629851265,0,2,185,MW,M,MW
8eedb6ec-18cd-4f05-881b-996f087241b3,2007-06-16T04:00:00.000+0000,0.021329655968458303,0,1,185,MW,M,MW
5b0dae8f-9144-4568-a29f-1e08baa697d6,2007-06-16T04:00:00.000+0000,0.004560061279135217,0,3,185,MW,M,MW
439b7d60-7452-4456-8390-a592acd337a6,2007-06-16T04:00:00.000+0000,0.023269766342919225,0,2,185,MW,M,MW
c129ecf7-f9c9-4aa8-9d94-fdc9652a2cd4,2007-04-07T04:00:00.000+0000,0.007220010056090896,0,1,170,WW,M,WW
fc6839a0-94bb-4e2d-bb8c-c0b2475e0962,2007-04-07T04:00:00.000+0000,0.08924908616908117,0,1,170,WW,M,WW
1a493117-883d-47be-b01b-0adcea53bbc1,2007-04-07T04:00:00.000+0000,0.004231414198148643,0,1,170,WW,M,WW
8543cdc2-d4cc-4ec7-a4a5-4bfa853ff016,2007-04-07T04:00:00.000+0000,0.009197744102580004,0,2,170,WW,M,WW
25228f81-8952-461d-b3cd-252278a83cb4,2007-04-07T04:00:00.000+0000,0.02032173110594803,0,3,170,WW,M,WW
2961a6d8-6aae-4f83-bd07-5e7523b2187e,2007-04-07T04:00:00.000+0000,0.03041582275714406,0,1,170,WW,M,WW
3b28abf3-6f2d-4379-b522-d14bad9bcc0f,2007-04-07T04:00:00.000+0000,0.024649070241769842,0,3,170,WW,M,WW
e9da2a24-7c0c-40b9-8c82-6bda496912c3,2007-04-07T04:00:00.000+0000,0.01762837013304311,0,2,170,WW,M,WW
b20c1343-0e96-4499-8785-c86e1cb7634c,2008-08-09T04:00:00.000+0000,0.0018434916571569231,0,1,170,WW,M,WW
37494d9a-5c01-433a-939f-0b6337191c55,2008-08-09T04:00:00.000+0000,0.008286720653313605,0,2,170,WW,M,WW
9adbe0e7-744e-46ef-8965-4eb8544845fe,2008-08-09T04:00:00.000+0000,0.002450003966133418,0,3,170,WW,M,WW
f896cf20-5f04-49a1-82cb-3062a2dc989c,2008-08-09T04:00:00.000+0000,0.010354834017948388,0,4,170,WW,M,WW
37157243-560d-45af-8dad-aeca05c866b9,2008-08-09T04:00:00.000+0000,0.002342756819890161,0,5,170,WW,M,WW
fb30923f-c20a-4cef-a9b3-fc511d3050fa,2008-08-09T04:00:00.000+0000,0.8862099051994198,0,3,170,WW,M,WW
df680473-598e-420e-8783-622d6819cb89,2008-08-09T04:00:00.000+0000,0.006531143227150058,0,4,170,WW,M,WW
8eb21a82-c6f5-4ee9-80dd-e946b1ef8b9f,2008-08-09T04:00:00.000+0000,0.030175611011804007,0,1,170,WW,M,WW
91a315f5-f350-4703-bd6d-33e07afcf1e0,2008-08-09T04:00:00.000+0000,0.011301565607799602,0,2,170,WW,M,WW
74f2e28a-2ebc-429f-bd4f-994263ac6e54,2008-08-09T04:00:00.000+0000,0.031729789642008344,0,5,170,WW,M,WW
ea04468f-8ba2-4ed7-bfb2-e8909c63653d,2008-08-09T04:00:00.000+0000,0.003152162787795364,0,2,265,HW,M,HW
3bdb574f-d06d-406a-956f-e7d7109e8d33,2008-08-09T04:00:00.000+0000,0.0011460469264156885,0,1,265,HW,M,HW
4f01f60d-7971-42dd-8efe-f4948d3ef595,2008-08-09T04:00:00.000+0000,0.0030523910495343673,0,3,265,HW,M,HW
31aa5853-077e-46d9-b6b5-d3289756adf9,2008-08-09T04:00:00.000+0000,0.9484619243593296,0,1,265,HW,M,HW
0cf43185-4019-49e9-bebe-0b3eec85a860,2008-08-09T04:00:00.000+0000,0.03011198935803577,0,2,265,HW,M,HW
9062d27d-784a-418a-8aad-d278c6f54946,2008-08-09T04:00:00.000+0000,0.022861233821762767,0,3,265,HW,M,HW
dd7a883d-a154-4ae7-a0d1-b693dba96a28,2008-12-13T05:00:00.000+0000,0.008540714143665536,0,1,205,LHW,M,LHW
0caa1b07-e819-4ce0-868e-8f4572619805,2008-12-13T05:00:00.000+0000,0.03327128251813271,0,1,205,LHW,M,LHW
8ac1136c-5d5c-4ef4-a5c6-e476f2bea543,2008-12-13T05:00:00.000+0000,0.7673829901386603,0,1,155,LW,M,LW
50cae710-7d8d-433c-9e90-b9e76037c23d,2008-12-13T05:00:00.000+0000,0.0023469574344407787,0,2,155,LW,M,LW
3223c790-e9fb-4282-a531-09622b198eb4,2008-12-13T05:00:00.000+0000,0.6849906214560569,0,3,155,LW,M,LW
aab28314-1856-4ec6-ae37-352d56eec6ec,2008-12-13T05:00:00.000+0000,0.0242579433957033,0,1,155,LW,M,LW
45b29eac-71f6-4a05-94eb-2c47f079484f,2008-12-13T05:00:00.000+0000,0.01839773891690928,0,2,155,LW,M,LW
30672c1b-b957-46e6-9983-80437a211853,2008-12-13T05:00:00.000+0000,0.002220388157338746,0,3,155,LW,M,LW
4a1e1497-ea9b-4523-8dde-97fd41eea8a3,2008-10-25T04:00:00.000+0000,0.005883082134078775,0,2,185,MW,M,MW
b9eca511-7fbd-4b7d-93ec-513554df6745,2008-10-25T04:00:00.000+0000,0.008539307928218599,0,1,185,MW,M,MW
9b6a1d01-060e-4ba4-85f3-91e48f9298d8,2008-10-25T04:00:00.000+0000,0.003935325378255222,0,3,185,MW,M,MW
d98e4b7b-020c-42ea-ac9f-e48cf3b73e4b,2008-10-25T04:00:00.000+0000,0.005489809774639339,0,1,185,MW,M,MW
74ae4a85-cd74-4e8f-9862-38f5e98753c0,2008-10-25T04:00:00.000+0000,0.003486139823040648,0,2,185,MW,M,MW
9432ea2f-6bdb-4e9d-9da9-f9a353649ba2,2008-10-25T04:00:00.000+0000,0.006422226059302515,0,3,185,MW,M,MW
128daf00-209b-49a5-8a2d-f009bb1c3424,2008-10-25T04:00:00.000+0000,0.007905210849793698,0,3,170,WW,M,WW
5087e2c4-45dc-4253-abb1-53288dc5fc50,2008-10-25T04:00:00.000+0000,0.009969863807365852,0,1,170,WW,M,WW
6b560c0f-6947-408a-b383-68c59b2e00c4,2008-10-25T04:00:00.000+0000,0.008267417335051055,0,2,170,WW,M,WW
78460457-90dc-4e7b-a722-bc0af1f9b163,2008-10-25T04:00:00.000+0000,0.027663244917172924,0,1,170,WW,M,WW
1bdd47e5-d3c8-446a-8f1a-2d4cc813123e,2008-10-25T04:00:00.000+0000,0.008289580106874429,0,2,170,WW,M,WW
93aa5ef1-5d55-4dad-9934-4914c4bc5bb1,2008-10-25T04:00:00.000+0000,0.018883786693330653,0,3,170,WW,M,WW
6780fdc8-e01f-45c4-a361-615d3f25df76,2008-10-18T04:00:00.000+0000,0.009577991093214794,0,1,185,MW,M,MW
1f0dba2a-3a8c-4659-ab9b-4ee48b5218b8,2008-10-18T04:00:00.000+0000,0.01644914716355164,0,2,185,MW,M,MW
b54c5701-e346-48f0-8d69-f60163aada01,2008-10-18T04:00:00.000+0000,0.006538449977670053,0,3,185,MW,M,MW
05ddcbd7-a696-482e-a3aa-0b47a1bd8f72,2008-10-18T04:00:00.000+0000,0.009845126173337684,0,2,185,MW,M,MW
b8c0e584-5c54-45ef-822e-b52b9815c145,2008-10-18T04:00:00.000+0000,0.008384493206714888,0,3,185,MW,M,MW
4afe4a3a-8a6a-42c1-8a81-d0663d769490,2008-10-18T04:00:00.000+0000,0.012369736675925629,0,1,185,MW,M,MW
44325f6c-3dc7-4cd2-8cb8-63ee66607a24,2008-09-17T04:00:00.000+0000,0.009292455832555148,0,1,155,LW,M,LW
4476aa10-55a0-4976-8160-01e73f600142,2008-09-17T04:00:00.000+0000,0.009989707349472592,0,2,155,LW,M,LW
8aec7120-4e19-4adf-95c5-7576fddb2ddd,2008-09-17T04:00:00.000+0000,0.002043233518487295,0,3,155,LW,M,LW
af2ac7e8-401e-4d56-9ee8-066696d59407,2008-09-17T04:00:00.000+0000,0.013134572539503469,0,1,155,LW,M,LW
e1d54e9c-78a2-4820-b306-1dcf074d51cc,2008-09-17T04:00:00.000+0000,0.10819877855633434,0,2,155,LW,M,LW
073bcb4a-8d10-4195-8e43-a24b0648837d,2008-09-17T04:00:00.000+0000,0.03727795909021602,0,3,155,LW,M,LW
c85341fa-b1e1-4eaf-a375-9c85cb489490,2008-09-17T04:00:00.000+0000,0.047741153897303816,0,2,185,MW,M,MW
340b1c45-b822-40d6-93a4-25ea9e3a829c,2008-09-17T04:00:00.000+0000,0.056669215872602915,0,3,185,MW,M,MW
ce1ddf07-8f80-45fa-9ec9-a4b625d91a71,2008-09-17T04:00:00.000+0000,0.9821517709604716,0,1,185,MW,M,MW
58f330ed-5c1a-4495-b7eb-3f3ea97378a5,2008-09-17T04:00:00.000+0000,0.003041173795384712,0,1,185,MW,M,MW
d226c39f-1249-4a0f-8ffb-ddd8447b0b73,2008-09-17T04:00:00.000+0000,0.0046883973305975315,0,2,185,MW,M,MW
779ec9a5-c222-4cff-9606-d02fd4aaac16,2008-09-17T04:00:00.000+0000,0.00313919979850209,0,3,185,MW,M,MW
0804f108-87b6-406a-adad-03b8e7e7fcf4,2008-09-17T04:00:00.000+0000,0.6846731193386443,0,1,155,LW,M,LW
e18949c9-d896-4ee4-be97-c015ba221121,2008-09-17T04:00:00.000+0000,0.9433632549253952,0,2,155,LW,M,LW
759ff0a6-1310-4179-8c8f-5703bd98e20b,2008-09-17T04:00:00.000+0000,0.5237280055380059,0,3,155,LW,M,LW
3545c9ce-8bf0-492d-a048-5d2583c0a1a8,2008-09-17T04:00:00.000+0000,0.04427021217564117,0,3,155,LW,M,LW
ead3d76f-7202-4db6-a764-ea962c137a2b,2008-09-17T04:00:00.000+0000,0.016201766110253674,0,1,155,LW,M,LW
0c7d8c3e-2a91-4352-ae6b-53a749738e9a,2008-09-17T04:00:00.000+0000,0.003907459546409107,0,2,155,LW,M,LW
b59dde68-cf95-4e01-8805-11392f27ce11,2008-01-23T05:00:00.000+0000,0.006949996423015966,0,2,170,WW,M,WW
f0f2c850-95c5-420e-8c82-0612e24310b1,2008-01-23T05:00:00.000+0000,0.00708525695460152,0,3,170,WW,M,WW
2406a5c6-16b5-4580-97e9-9a7b69a4a29e,2008-01-23T05:00:00.000+0000,0.009355020363243116,0,1,170,WW,M,WW
264007cd-4448-4ce6-bc99-9fbc03de9a53,2008-01-23T05:00:00.000+0000,0.0031580011585662557,0,1,170,WW,M,WW
aa773a05-bafc-4765-a086-b8a01b2d73e6,2008-01-23T05:00:00.000+0000,0.005402788630969211,0,2,170,WW,M,WW
93fd10bd-e361-4904-b478-fd91650a7ace,2008-01-23T05:00:00.000+0000,0.009504917719014969,0,3,170,WW,M,WW
75c39ec5-75a5-4c13-bd04-6eea8f73806d,2008-04-02T04:00:00.000+0000,0.8493870238340511,0,1,155,LW,M,LW
332e0db6-a63d-44e4-a8ba-dac96ef9cbba,2008-04-02T04:00:00.000+0000,0.001232073430560756,0,2,155,LW,M,LW
83af3d91-df98-4740-9755-e6895afa9beb,2008-04-02T04:00:00.000+0000,0.0068277685114293465,0,2,155,LW,M,LW
dc456515-a338-4939-a3ec-4f130586762b,2008-04-02T04:00:00.000+0000,0.02049829459412596,0,1,155,LW,M,LW
6abe47ad-f6a8-4a73-8cf9-547cf07eaf2d,2008-04-02T04:00:00.000+0000,0.007285644273332156,0,1,155,LW,M,LW
f930cdc5-984d-4d23-8701-e6c0fc46e50e,2008-04-02T04:00:00.000+0000,0.02817405589736445,0,2,155,LW,M,LW
ef6e7577-541f-431e-8b72-dbc0b36d0d6f,2008-04-02T04:00:00.000+0000,0.007290010726552818,0,3,155,LW,M,LW
ef37800e-ab0c-4e93-8632-00888368f9bb,2008-04-02T04:00:00.000+0000,0.05565357466696179,0,3,155,LW,M,LW
648a896d-1181-4b6c-810d-1c3fb113bee2,2008-04-02T04:00:00.000+0000,0.013120826458258673,0,1,155,LW,M,LW
1eb3453c-a2c6-4641-92f3-7067dc04b9ad,2008-04-02T04:00:00.000+0000,0.012345139043822615,0,2,155,LW,M,LW
e9bc1d69-72cc-40b5-93bb-c8a90911a5dc,2008-04-19T04:00:00.000+0000,0.0021535966955495605,0,1,170,WW,M,WW
c27a7cbb-ee0a-408e-8ace-0b9d99fdf686,2008-04-19T04:00:00.000+0000,0.002550578008457446,0,2,170,WW,M,WW
b43ddcf7-88e5-4f29-92d8-d36583e7ad49,2008-04-19T04:00:00.000+0000,0.03223448863133108,0,1,170,WW,M,WW
b29d765c-e1ee-4a56-afe9-0bb042a6eb39,2008-04-19T04:00:00.000+0000,0.02761583139856526,0,2,170,WW,M,WW
9b3a69dd-322f-4c27-abef-d8a391215f7e,2008-06-07T04:00:00.000+0000,0.023949074695878904,0,1,170,WW,M,WW
1a825db7-a417-4ba5-88f6-500d43b42929,2008-06-07T04:00:00.000+0000,0.009263674579195594,0,2,170,WW,M,WW
9991b692-a9e8-467c-b15a-13e7c096616a,2008-06-07T04:00:00.000+0000,0.0017640240000663593,0,1,170,WW,M,WW
3d307531-b78a-47c8-b527-c7694cb1bb3d,2008-06-07T04:00:00.000+0000,0.08005287929448697,0,2,170,WW,M,WW
84398909-5727-4177-b1ef-b901e7040fcc,2008-05-24T04:00:00.000+0000,0.008366925495099447,0,1,155,LW,M,LW
3480f3be-d46a-4ffd-8c20-c7de82f65728,2008-05-24T04:00:00.000+0000,0.008251930171343843,0,2,155,LW,M,LW
8bb5cfe4-cec4-44c7-99dd-7e17f3489f63,2008-05-24T04:00:00.000+0000,0.006081654344348478,0,3,155,LW,M,LW
98d571e8-9ef4-44d4-9db7-0333a5077530,2008-05-24T04:00:00.000+0000,0.0037893716020042647,0,1,155,LW,M,LW
b247f8cf-f3c6-4e7e-ba72-b1029c764a45,2008-05-24T04:00:00.000+0000,0.003897278620854918,0,2,155,LW,M,LW
2005922c-b192-4a3c-9f8e-4b403d4d6365,2008-05-24T04:00:00.000+0000,0.01249150239542815,0,3,155,LW,M,LW
82ccef5e-e5c9-4d24-8630-780542772bf6,2008-03-01T05:00:00.000+0000,0.020381787417091592,0,1,185,MW,M,MW
92c464f7-4b85-481d-8a86-d0ba404b1be2,2008-03-01T05:00:00.000+0000,0.003368930014326987,0,2,185,MW,M,MW
c8036ab0-96de-4e45-9009-7840c613659b,2008-03-01T05:00:00.000+0000,0.0018048155396255539,0,1,185,MW,M,MW
d75a3763-4334-409a-8d75-2459e27e2e46,2008-03-01T05:00:00.000+0000,0.9287977398200664,1,2,185,MW,M,MW
1a11cd70-8c1b-4568-b0b1-01c5e7a540d4,2008-03-01T05:00:00.000+0000,0.006387987018420887,0,1,185,MW,M,MW
b60c4e83-1b7e-4d00-af8a-5f9e8ca4e812,2008-03-01T05:00:00.000+0000,0.026265496162647072,0,1,185,MW,M,MW
2043062b-4e31-48e9-8aff-850eba3a0ccd,2008-03-01T05:00:00.000+0000,0.004569907343821836,0,2,265,HW,M,HW
f37ab7a0-42d6-4010-8f56-2ab571a0d099,2008-03-01T05:00:00.000+0000,0.02629086842399696,0,1,265,HW,M,HW
15538261-ec71-4064-89f5-531c880b567e,2008-03-01T05:00:00.000+0000,0.0016757035766737586,0,3,265,HW,M,HW
830c919b-ca1a-4d2d-8bfb-30149f682e7e,2008-03-01T05:00:00.000+0000,0.0023343498406474465,0,1,265,HW,M,HW
a646f120-d3c6-4564-9a0b-772b6ed4763f,2008-03-01T05:00:00.000+0000,0.0042108555308015575,0,2,265,HW,M,HW
70f16169-09e6-47df-809f-05a4e7411dbe,2008-03-01T05:00:00.000+0000,0.030744839455373273,0,3,265,HW,M,HW
b18da8d1-dda5-44aa-ba49-760fe5380c9f,2008-12-27T05:00:00.000+0000,0.0153475398795623,0,2,205,LHW,M,LHW
