,average,average_rank,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
2cea4ff4-85d8-4cbb-996b-fedca389e8b8,55.76564843910876,96.93,0.3490803811061082,0.4996918032674444,0.49996274184022516,0.2117856582385415,0.002598903891013983,780.7190781475226,99.85,2cea4ff4-85d8-4cbb-996b-fedca389e8b8,0,0,99,4,1,191.70416197975254,196.78,36.27567250337377,92.80089988751406,725.5134500674753,98.90326209223846
091b7988-f4db-414e-8b69-a19ecff48234,55.765278899949955,96.92,0.347720332471241,0.4998635506959099,0.499954641996083,0.20863752143298273,0.0025850193307150413,780.7139045992993,99.84,091b7988-f4db-414e-8b69-a19ecff48234,0,0,99,4,1,131.06017997750283,196.76,23.129835329767786,71.34420697412824,439.46687126558794,59.71597300337458
4243745c-eaaa-48ff-ac84-262b5f5aada8,55.765262334183895,96.91,0.40048902976668144,0.49981161505045163,0.49987061405707545,0.20815150968136756,0.001787408463185104,780.7136726785745,99.83,4243745c-eaaa-48ff-ac84-262b5f5aada8,0,0,99,4,1,131.73509561304837,196.74,23.134601313572876,71.822272215973,439.5574249578846,59.912823397075364
2a565896-28f6-44ed-81d3-9f69a41ef707,55.76474041715701,96.9,0.3570072862445071,0.49955577839401183,0.49994679299696315,0.20512591193512028,0.0038545390532295706,780.7063658401981,99.82,2a565896-28f6-44ed-81d3-9f69a41ef707,0,0,99,4,1,132.03037120359954,196.72,24.350954282932346,78.76827896512935,438.31717709278223,53.26209223847019
6706b67b-8051-4765-bf78-1cdb981bf5f1,55.76469243760322,96.89,0.36208086666447725,0.49968235628876684,0.4999330211798523,0.20754379831738354,0.0052089870529136,780.7056941264451,99.81,6706b67b-8051-4765-bf78-1cdb981bf5f1,0,0,99,4,1,132.00224971878515,196.7,24.350946040302986,78.75421822272216,438.3170287254538,53.24803149606299
6099417f-1a5a-4532-a049-c5675f52a178,55.764012088035535,96.88,0.3852831690884508,0.4998130802305702,0.4998836531634733,0.20908939754096917,0.0023372716798170804,780.6961692324975,99.8,6099417f-1a5a-4532-a049-c5675f52a178,0,0,99,4,1,131.4820022497188,196.68,23.132706815944847,71.65354330708661,439.52142950295206,59.828458942632174
cb596cce-d94b-4484-9881-de37c3d525b3,55.76367885238931,96.87,0.34521794446773296,0.4998954051524548,0.49994250987038624,0.20934248679171122,0.004384306916357711,780.6915039334503,99.79,cb596cce-d94b-4484-9881-de37c3d525b3,0,0,99,4,1,131.97412823397076,196.66000000000003,24.350828041564856,78.74015748031496,438.3149047481674,53.23397075365579
9af89a4e-d1c6-418f-a0ec-42eb46e959a7,55.763631281778366,96.86,0.32554074850098585,0.49950411018972346,0.49998975864870293,0.21186650306049018,0.0033496321793174758,780.6908379448971,99.78,9af89a4e-d1c6-418f-a0ec-42eb46e959a7,0,0,99,4,1,191.64791901012373,196.64,36.2718067797274,92.77277840269966,725.436135594548,98.87514060742407
4092ccea-d2c6-4cec-81a4-5b9fe32fdb8a,55.76346022666985,96.85,0.364601122876632,0.49949312951357344,0.49992497957606347,0.20774300593550596,0.0021564951352153723,780.6884431733779,99.77,4092ccea-d2c6-4cec-81a4-5b9fe32fdb8a,0,0,99,4,1,131.2289088863892,196.62,23.130414695680546,71.47075365579303,439.47787921793037,59.758155230596174
0f7b2910-5372-4646-9e43-1a6f8f2f8203,55.76248437332394,96.84,0.3745299847107111,0.4996830167655391,0.49989210797870787,0.21034952145096006,0.0017865969048995022,780.6747812265352,99.76,0f7b2910-5372-4646-9e43-1a6f8f2f8203,0,0,99,4,1,131.31327334083238,196.60000000000002,23.13102841121344,71.52699662542182,439.48953981305533,59.78627671541057
9a943c06-93ce-4aa3-b467-c7101e23dbe4,55.76216885183618,96.83,0.3240643390243464,0.49972263893449465,0.4999697773161301,0.2097324774500061,0.0011003183521644622,780.6703639257065,99.75,9a943c06-93ce-4aa3-b467-c7101e23dbe4,0,0,99,4,1,130.35714285714286,196.57999999999998,23.126329112298535,70.89426321709786,439.40025313367215,59.462879640044996
