,0_exp_outcome,0_exp_prob,0_ml_odds,0_odds_diff,0_outcome,0_prev_fights,1_exp_outcome,1_exp_prob,1_ml_odds,1_odds_diff,1_outcome,1_prev_fights,bet_result,expected_outcome
60c441c5838dfac2,-0.47308049918355854,39.51896256123311,75.0,-35.48103743876689,1.0,1.0,1.0855530151298927,60.48103743876689,29.0,31.48103743876689,0.0,2.0,-1.0,1.0855530151298927
e0b323dae5bf4c90,0.017615155003558147,46.810297130163676,46.0,0.8102971301636757,1.0,21.0,-0.08293615741661498,53.18970286983633,58.0,-4.8102971301636686,0.0,16.0,1.173913043478261,0.017615155003558147
5cee1d8f1e43d6f5,0.013904540817669675,44.61179979597746,44.0,0.6117997959774613,0.0,22.0,-0.07686332993295786,55.38820020402253,60.0,-4.611799795977468,1.0,13.0,-1.0,0.013904540817669675
c26a3f4c08333886,0.9939066239362058,43.86594572659653,22.0,21.86594572659653,0.0,6.0,-0.3154383625194698,56.13405427340348,82.0,-25.86594572659652,1.0,8.0,-1.0,0.9939066239362058
5bba49d88db7430f,0.4694589518300075,66.12565283235034,45.0,21.12565283235034,1.0,12.0,-0.425858522582209,33.87434716764967,59.0,-25.125652832350333,0.0,4.0,1.2222222222222223,0.4694589518300075
dc45c8d70e256749,0.15667404907794213,46.26696196311769,40.0,6.266961963117687,0.0,13.0,-0.16042128067371375,53.73303803688232,64.0,-10.26696196311768,1.0,19.0,-1.0,0.15667404907794213
b3c74554c871fbf8,-0.49980145251074176,32.012707039312524,64.0,-31.987292960687476,0.0,14.0,0.6996823240171869,67.98729296068747,40.0,27.98729296068747,1.0,7.0,1.5,0.6996823240171869
9fc6aba53508dc48,-0.26635717945841575,35.94849820653763,49.0,-13.051501793462371,0.0,3.0,0.14377681774039963,64.05150179346238,56.0,8.051501793462378,1.0,9.0,0.7857142857142858,0.14377681774039963
02f5621f480ad1d4,0.42677497568522915,48.51034917329779,34.0,14.51034917329779,0.0,21.0,-0.26443355961854,51.4896508267022,70.0,-18.510349173297797,1.0,6.0,-1.0,0.42677497568522915
f0d4652f8edfbe6d,-0.10991169260341982,61.41609321036403,69.0,-7.583906789635968,1.0,5.0,0.10239733684674202,38.58390678963597,35.0,3.583906789635968,0.0,1.0,-1.0,0.10239733684674202
b9abcce29378e5cc,0.16702158676479906,66.52023044559354,57.0,9.52023044559354,1.0,18.0,-0.2876644775658201,33.47976955440646,47.0,-13.52023044559354,0.0,31.0,0.7543859649122808,0.16702158676479906
593f3b051aa82b0f,-0.28917127000754994,54.0229834794262,76.0,-21.977016520573798,0.0,13.0,0.6420363043062072,45.9770165205738,28.0,17.977016520573798,1.0,11.0,2.5714285714285716,0.6420363043062072
3f810c3433dddb80,-0.1180232577561309,64.38430218380245,73.0,-8.615697816197553,1.0,13.0,0.1488934779418566,35.61569781619755,31.0,4.615697816197553,0.0,10.0,-1.0,0.1488934779418566
08244974cf39ae38,-0.03452026071927761,63.72166279252768,66.0,-2.278337207472319,1.0,3.0,-0.04530691559283362,36.27833720747232,38.0,-1.721662792527681,0.0,6.0,0.0,0.0
b70dfff154b135bf,0.19167811132358392,29.7919527830896,25.0,4.791952783089599,0.0,18.0,-0.11129054155809612,70.2080472169104,79.0,-8.791952783089599,1.0,3.0,-1.0,0.19167811132358392
d395828f5cb045a5,-0.16750080951427912,58.27494333400046,70.0,-11.725056665999539,0.0,15.0,0.2272075489999864,41.72505666599954,34.0,7.7250566659995386,1.0,6.0,1.9411764705882353,0.2272075489999864
4e77cc2c8d604241,0.2385585825976202,44.58810897351433,36.0,8.58810897351433,0.0,6.0,-0.18511924961050485,55.41189102648567,68.0,-12.58810897351433,1.0,11.0,-1.0,0.2385585825976202
fcfaa28ed6888088,0.09238631896663252,36.04874852589887,33.0,3.0487485258988727,0.0,4.0,-0.09927814825209685,63.95125147410112,71.0,-7.04874852589888,1.0,11.0,-1.0,0.09238631896663252
