,average,average_rank,bet_ceiling,bet_female,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
61be2071-ace0-4965-a0f5-b39074f38818,23.42387602732085,82.6,192,False,0.2615954127020364,0.10689688638635338,0.22573121130953455,0.13869126090558073,0.0018015458422949238,1077.498297256759,99.64,61be2071-ace0-4965-a0f5-b39074f38818,0.25918225905364384,0.1686140619422543,99,3,1,97.56302521008404,182.24,4.481945963512981,47.39495798319328,206.16951432159712,50.168067226890756
07b904e6-2676-470d-bc7e-75e00b6c3a6f,23.40500291926997,82.56,193,False,0.217326355473008,0.0779666752199939,0.1685875223425503,0.13761801120954179,0.002221525623381179,1076.6301342864185,99.62,07b904e6-2676-470d-bc7e-75e00b6c3a6f,0.27292242455597776,0.16685636440891422,99,3,1,110.50420168067228,182.18,5.0761148992356135,53.19327731092437,228.4251704656026,57.3109243697479
9a055b82-6e7d-4620-83ee-160102d8c35b,23.335822257608992,82.38,192,False,0.279111386242752,0.09256249202590132,0.26763301796827543,0.13824184473516707,0.0019734180015811434,1073.4478238500137,99.6,9a055b82-6e7d-4620-83ee-160102d8c35b,0.4024832128277291,0.16022338249443538,99,3,1,59.41176470588235,181.98,3.6590111790605437,29.41176470588235,168.31451423678502,30.0
d735f048-cbb4-4cd0-8dc1-d92bd753594c,23.285713514494397,82.34,188,False,0.24070801283185275,0.07728139171471833,0.20823955127715502,0.13804967200531879,0.00201390623932903,1071.1428216667423,99.58,d735f048-cbb4-4cd0-8dc1-d92bd753594c,0.26387413809397003,0.15614898112164155,99,3,1,78.15126050420167,181.92000000000002,4.04011304071036,38.319327731092436,185.84519987267657,39.831932773109244
edaa55f6-6654-4459-a5b4-9cc04b55e89c,23.252020704664094,82.26,187,False,0.35409947608152764,0.06764475793264295,0.3923933913809749,0.13846540052818834,0.002774713046596502,1069.5929524145483,99.56,edaa55f6-6654-4459-a5b4-9cc04b55e89c,0.2225048511218321,0.19203771525028246,99,3,1,52.52100840336134,181.82,3.459525423058953,26.386554621848738,155.67864403765287,26.134453781512605
c5c47493-c110-4649-bd1f-01730f077280,23.199747754533252,82.22,190,False,0.28712896101850255,0.10971382546641052,0.3086938037407925,0.13764373346561407,0.0015999002735147027,1067.1883967085296,99.54,c5c47493-c110-4649-bd1f-01730f077280,0.34361507985411127,0.166647619560504,99,3,1,53.02521008403362,181.76,3.4302027589329547,26.218487394957982,157.78932691091592,26.80672268907563
ca55289c-abc6-4cb1-a6fb-6edb81ffd3cd,23.19802430135471,82.2,192,False,0.22069339745115157,0.07455180547059512,0.21079351747352854,0.13777169512180995,0.0021336734449799426,1067.1091178623167,99.52,ca55289c-abc6-4cb1-a6fb-6edb81ffd3cd,0.26061750423138347,0.171868941426516,99,3,1,106.1344537815126,181.72,4.825167220142545,51.84873949579832,217.13252490641452,54.285714285714285
67de350e-fdea-4ce4-9134-aa3f7a63ddb9,23.19637768908299,82.18,191,False,0.2986191105763285,0.08959605570234831,0.2939422221805537,0.13903974144092607,0.0016310432474577626,1067.0333736978175,99.5,67de350e-fdea-4ce4-9134-aa3f7a63ddb9,0.3813476544575887,0.16397953298496615,99,3,1,55.79831932773109,181.68,3.5301247141469787,27.73109243697479,162.38573685076102,28.067226890756302
6da7c946-498e-4a4c-bb96-75c8d8e8a04c,23.11676074721999,82.12,187,False,0.35352486630255314,0.0993025133757165,0.3545563866475066,0.13970970244634529,0.002006988369283781,1063.3709943721194,99.48,6da7c946-498e-4a4c-bb96-75c8d8e8a04c,0.26931979827778735,0.1863730477233715,99,3,1,73.69747899159664,181.60000000000002,3.961544868752573,36.30252100840336,182.23106396261835,37.39495798319328
cdf1f39a-7499-44d3-a809-bfad8a83546a,23.087941767570165,82.1,188,False,0.3226950489042978,0.07619252096694804,0.32022699505060603,0.13790053295590418,0.001881821671014587,1062.0453213082276,99.46,cdf1f39a-7499-44d3-a809-bfad8a83546a,0.2975751124840312,0.17733858020610088,99,3,1,73.19327731092437,181.56,3.9523979105838625,36.05042016806723,181.81030388685767,37.142857142857146
f50d035a-e9d1-4352-b397-dc3ac65771ec,23.077323762020104,82.08,187,False,0.31924723429939894,0.08497564691805826,0.3510913511567243,0.1391771599467389,0.0019718140550600565,1061.5568930529248,99.44,f50d035a-e9d1-4352-b397-dc3ac65771ec,0.2776305347170655,0.18525570627661045,99,3,1,76.1344537815126,181.51999999999998,4.003627352423132,37.47899159663866,184.1668582114641,38.65546218487395
e5c62308-0ce6-4705-9f9d-a60df8b279d7,23.067999858151733,82.06,191,False,0.2678717787861567,0.09627434329019519,0.2677911134179551,0.1392907221006203,0.0016452154635325763,1061.1279934749798,99.42,e5c62308-0ce6-4705-9f9d-a60df8b279d7,0.3961156550721612,0.16286070886305806,99,3,1,66.80672268907563,181.48000000000002,3.828753736817447,33.109243697478995,176.12267189360256,33.69747899159664
d50a9356-e04b-4126-8a56-655ec994148c,23.04696198529341,82.04,191,False,0.24387186020035864,0.10256185384884843,0.23936392635191212,0.13952780024734077,0.0022273682211308068,1060.1602513234968,99.4,d50a9356-e04b-4126-8a56-655ec994148c,0.3888639246820087,0.1615851095941376,99,3,1,71.26050420168067,181.44,3.9582007473317398,36.21848739495798,178.11903362992828,35.04201680672269
